"cluster_set","featset","focgene","subtype","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H16N3",1,5,0,0.333333333333333,3,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",1,5,0,0.333333333333333,5,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",1,5,0,0.333333333333333,7,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.1,6,0,0.333333333333333,3,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.1,6,0,0.333333333333333,5,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.1,6,0,0.333333333333333,7,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.3,6,0,0.333333333333333,3,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.3,6,0,0.333333333333333,5,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",0.3,6,0,0.333333333333333,7,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",1,6,0,0.333333333333333,3,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",1,6,0,0.333333333333333,5,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H16N3",1,6,0,0.333333333333333,7,1,1000,0.0742297759030984,0,0.00113592935052605,0
"70_7","cds_compbias","HA","H3N8",0.1,4,0,0.333333333333333,3,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","cds_compbias","HA","H3N8",0.1,4,0,0.333333333333333,5,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","cds_compbias","HA","H3N8",0.1,4,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","cds_compbias","HA","H3N8",0.3,4,0,0.333333333333333,3,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","cds_compbias","HA","H3N8",0.3,4,0,0.333333333333333,5,1,1000,0.079675851716154,0,0.00127165059594296,0
"70_7","cds_compbias","HA","H3N8",0.3,4,0,0.333333333333333,7,1,1000,0.079675851716154,0,0.00127165059594296,0
